Date,City,Dealer_ID,Car_Model,Price,Discount,Marketing_Spend,Festival,Fuel_Price,Units_Sold,Lead_Time,Service_Level,Holding_Cost_Per_Unit,Previous_Month_Sales,Rolling_3M_Avg,Demand_Std_Dev,Forecasted_Demand,Safety_Stock,Reorder_Point,Inventory_Gap,Holding_Cost_Impact,Risk_Alert,Profit_Per_Unit,Lost_Profit,Blocked_Capital
2022-08-01,Bangalore,D3914,Baleno,950000,7,77208,1,88.85,28377,1,0.95,19000.0,10843.0,26806.666666666668,19666.629436122952,28077.158333333333,32449.93856960287,60527.0969029362,32150.096902936202,610851841.1557878,Excess Inventory Risk,76000.0,0.0,30542592057.78939
2022-09-01,Bangalore,D5968,Baleno,720000,4,49614,0,90.02,12030,1,0.95,14400.0,28377.0,17083.333333333332,19666.629436122952,12899.241666666669,32449.93856960287,45349.18023626954,33319.18023626954,479796195.40228134,Excess Inventory Risk,57600.0,0.0,23989809770.114067
2022-12-01,Bangalore,D1728,Baleno,720000,5,75923,1,90.17,26529,1,0.95,14400.0,12030.0,22312.0,19666.629436122952,27218.2,32449.93856960287,59668.138569602874,33139.138569602874,477203595.4022814,Excess Inventory Risk,57600.0,0.0,23860179770.11407
2024-02-01,Bangalore,D6486,Baleno,720000,3,33726,0,97.97,11268,1,0.95,14400.0,26529.0,16609.0,19666.629436122952,9850.191666666668,32449.93856960287,42300.130236269535,31032.130236269535,446862675.4022813,Excess Inventory Risk,57600.0,0.0,22343133770.114067
2024-03-01,Bangalore,D9335,Baleno,950000,6,77723,1,94.4,28856,1,0.95,19000.0,11268.0,22217.666666666668,19666.629436122952,28141.95,32449.93856960287,60591.888569602874,31735.888569602874,602981882.8224546,Excess Inventory Risk,76000.0,0.0,30149094141.12273
2024-07-01,Bangalore,D8192,Baleno,880000,5,42178,0,96.22,12252,1,0.95,17600.0,28856.0,17458.666666666668,19666.629436122952,12183.566666666668,32449.93856960287,44633.505236269535,32381.505236269535,569914492.1583438,Excess Inventory Risk,70400.0,0.0,28495724607.91719
2024-11-01,Bangalore,D2167,Baleno,720000,9,163360,2,95.42,75163,1,0.95,14400.0,12252.0,38757.0,19666.629436122952,72178.425,32449.93856960287,104628.36356960287,29465.363569602865,424301235.4022813,Excess Inventory Risk,57600.0,0.0,21215061770.114063
2025-01-01,Bangalore,D3156,Baleno,950000,10,72443,1,99.22,24956,1,0.95,19000.0,75163.0,37457.0,19666.629436122952,25980.2,32449.93856960287,58430.138569602874,33474.138569602874,636008632.8224546,Excess Inventory Risk,76000.0,0.0,31800431641.12273
2023-03-01,Chennai,D1698,Baleno,950000,6,54114,1,92.19,19603,1,0.95,19000.0,44876.0,27845.333333333332,10754.249007703746,18948.3,17744.51086271118,36692.81086271118,17089.81086271118,324706406.3915124,Excess Inventory Risk,76000.0,0.0,16235320319.57562
2023-05-01,Chennai,D1395,Baleno,800000,2,37761,0,93.76,10309,1,0.95,16000.0,19603.0,24929.333333333332,10754.249007703746,11217.883333333331,17744.51086271118,28962.39419604451,18653.39419604451,298454307.1367122,Excess Inventory Risk,64000.0,0.0,14922715356.83561
2023-08-01,Chennai,D5171,Baleno,800000,7,75426,1,94.04,26742,1,0.95,16000.0,10309.0,18884.666666666668,10754.249007703746,26519.383333333335,17744.51086271118,44263.894196044515,17521.894196044515,280350307.13671225,Excess Inventory Risk,64000.0,0.0,14017515356.835613
2023-11-01,Chennai,D1717,Baleno,880000,13,83712,2,91.04,41031,1,0.95,17600.0,26742.0,26027.333333333332,10754.249007703746,38976.208333333336,17744.51086271118,56720.71919604452,15689.71919604452,276139057.8503835,Excess Inventory Risk,70400.0,0.0,13806952892.519176
2024-05-01,Chennai,D8266,Baleno,880000,5,64958,0,97.2,21310,1,0.95,17600.0,41031.0,29694.333333333332,10754.249007703746,20961.375,17744.51086271118,38705.88586271118,17395.885862711177,306167591.1837167,Excess Inventory Risk,70400.0,0.0,15308379559.185835
2024-06-01,Chennai,D5491,Baleno,950000,6,39108,0,94.82,10316,1,0.95,19000.0,21310.0,24219.0,10754.249007703746,10256.508333333331,17744.51086271118,28001.01919604451,17685.01919604451,336015364.7248457,Excess Inventory Risk,76000.0,0.0,16800768236.242287
2024-08-01,Chennai,D6588,Baleno,880000,9,85643,1,96.93,25757,1,0.95,17600.0,10316.0,19127.666666666668,10754.249007703746,27457.716666666667,17744.51086271118,45202.22752937785,19445.22752937785,342236004.5170502,Excess Inventory Risk,70400.0,0.0,17111800225.852509
2024-09-01,Chennai,D8651,Baleno,800000,6,61324,0,96.46,20567,1,0.95,16000.0,25757.0,18880.0,10754.249007703746,18616.558333333334,17744.51086271118,36361.06919604451,15794.069196044511,252705107.13671216,Excess Inventory Risk,64000.0,0.0,12635255356.83561
2025-05-01,Chennai,D7541,Baleno,720000,4,41207,0,99.98,14632,1,0.95,14400.0,20567.0,20318.666666666668,10754.249007703746,13832.908333333333,17744.51086271118,31577.419196044513,16945.419196044513,244014036.423041,Excess Inventory Risk,57600.0,0.0,12200701821.15205
2025-07-01,Chennai,D8330,Baleno,720000,4,65757,0,100.83,18531,1,0.95,14400.0,14632.0,17910.0,10754.249007703746,18955.216666666667,17744.51086271118,36699.72752937785,18168.72752937785,261629676.42304105,Excess Inventory Risk,57600.0,0.0,13081483821.152052
2024-01-01,Delhi,D5946,Baleno,880000,9,101924,1,96.91,28934,1,0.95,17600.0,17821.0,21093.666666666668,27390.949933978452,29618.35,45195.06739106445,74813.41739106445,45879.417391064446,807477746.0827342,Excess Inventory Risk,70400.0,0.0,40373887304.13671
2024-10-01,Delhi,D4636,Baleno,950000,8,183896,2,94.75,93509,1,0.95,19000.0,28934.0,46754.666666666664,27390.949933978452,89533.70833333333,45195.06739106445,134728.77572439777,41219.77572439777,783175738.7635576,Excess Inventory Risk,76000.0,0.0,39158786938.17788
2025-03-01,Delhi,D6161,Baleno,720000,7,113449,1,100.04,43690,1,0.95,14400.0,93509.0,55377.666666666664,27390.949933978452,44378.78333333333,45195.06739106445,89573.85072439778,45883.85072439778,660727450.431328,Excess Inventory Risk,57600.0,0.0,33036372521.566402
2025-06-01,Delhi,D5729,Baleno,720000,3,55537,0,97.81,17573,1,0.95,14400.0,43690.0,51590.666666666664,27390.949933978452,19034.016666666663,45195.06739106445,64229.08405773111,46656.08405773111,671847610.4313279,Excess Inventory Risk,57600.0,0.0,33592380521.5664
2025-10-01,Delhi,D5330,Baleno,800000,8,86471,2,97.6,42883,1,0.95,16000.0,17573.0,34715.333333333336,27390.949933978452,38913.083333333336,45195.06739106445,84108.15072439778,41225.15072439778,659602411.5903646,Excess Inventory Risk,64000.0,0.0,32980120579.518227
