Date,City,Dealer_ID,Car_Model,Price,Discount,Marketing_Spend,Festival,Fuel_Price,Units_Sold,Lead_Time,Service_Level,Holding_Cost_Per_Unit,Previous_Month_Sales,Rolling_3M_Avg,Demand_Std_Dev,Scenario_Forecast
2022-08-01,Bangalore,D3914,Baleno,950000,7,77208,1,97.735,28377,1,0.95,19000.0,10843.0,26806.666666666668,19666.629436122952,28741.775
2022-09-01,Bangalore,D5968,Baleno,720000,4,49614,0,99.022,12030,1,0.95,14400.0,28377.0,17083.333333333332,19666.629436122952,13251.15
2022-12-01,Bangalore,D1728,Baleno,720000,5,75923,1,99.18700000000001,26529,1,0.95,14400.0,12030.0,22312.0,19666.629436122952,27714.091666666667
2024-02-01,Bangalore,D6486,Baleno,720000,3,33726,0,107.76700000000001,11268,1,0.95,14400.0,26529.0,16609.0,19666.629436122952,10928.366666666667
2024-03-01,Bangalore,D9335,Baleno,950000,6,77723,1,103.84000000000002,28856,1,0.95,19000.0,11268.0,22217.666666666668,19666.629436122952,29792.533333333333
2024-07-01,Bangalore,D8192,Baleno,880000,5,42178,0,105.84200000000001,12252,1,0.95,17600.0,28856.0,17458.666666666668,19666.629436122952,12067.675
2024-11-01,Bangalore,D2167,Baleno,720000,9,163360,2,104.962,75163,1,0.95,14400.0,12252.0,38757.0,19666.629436122952,64136.525
2025-01-01,Bangalore,D3156,Baleno,950000,10,72443,1,109.14200000000001,24956,1,0.95,19000.0,75163.0,37457.0,19666.629436122952,27571.4
2023-03-01,Chennai,D1698,Baleno,950000,6,54114,1,101.409,19603,1,0.95,19000.0,44876.0,27845.333333333332,10754.249007703746,18188.025
2023-05-01,Chennai,D1395,Baleno,800000,2,37761,0,103.13600000000001,10309,1,0.95,16000.0,19603.0,24929.333333333332,10754.249007703746,10744.158333333333
2023-08-01,Chennai,D5171,Baleno,800000,7,75426,1,103.44400000000002,26742,1,0.95,16000.0,10309.0,18884.666666666668,10754.249007703746,27173.408333333333
2023-11-01,Chennai,D1717,Baleno,880000,13,83712,2,100.14400000000002,41031,1,0.95,17600.0,26742.0,26027.333333333332,10754.249007703746,38780.25
2024-05-01,Chennai,D8266,Baleno,880000,5,64958,0,106.92000000000002,21310,1,0.95,17600.0,41031.0,29694.333333333332,10754.249007703746,19864.758333333335
2024-06-01,Chennai,D5491,Baleno,950000,6,39108,0,104.302,10316,1,0.95,19000.0,21310.0,24219.0,10754.249007703746,10563.833333333334
2024-08-01,Chennai,D6588,Baleno,880000,9,85643,1,106.62300000000002,25757,1,0.95,17600.0,10316.0,19127.666666666668,10754.249007703746,28342.125
2024-09-01,Chennai,D8651,Baleno,800000,6,61324,0,106.10600000000001,20567,1,0.95,16000.0,25757.0,18880.0,10754.249007703746,19634.341666666667
2025-05-01,Chennai,D7541,Baleno,720000,4,41207,0,109.97800000000001,14632,1,0.95,14400.0,20567.0,20318.666666666668,10754.249007703746,13918.383333333333
2025-07-01,Chennai,D8330,Baleno,720000,4,65757,0,110.91300000000001,18531,1,0.95,14400.0,14632.0,17910.0,10754.249007703746,19322.133333333335
2024-01-01,Delhi,D5946,Baleno,880000,9,101924,1,106.601,28934,1,0.95,17600.0,17821.0,21093.666666666668,27390.949933978452,30074.291666666668
2024-10-01,Delhi,D4636,Baleno,950000,8,183896,2,104.22500000000001,93509,1,0.95,19000.0,28934.0,46754.666666666664,27390.949933978452,77604.59166666666
2025-03-01,Delhi,D6161,Baleno,720000,7,113449,1,110.04400000000001,43690,1,0.95,14400.0,93509.0,55377.666666666664,27390.949933978452,45277.45
2025-06-01,Delhi,D5729,Baleno,720000,3,55537,0,107.59100000000001,17573,1,0.95,14400.0,43690.0,51590.666666666664,27390.949933978452,18687.033333333333
2025-10-01,Delhi,D5330,Baleno,800000,8,86471,2,107.36,42883,1,0.95,16000.0,17573.0,34715.333333333336,27390.949933978452,40873.7
2022-05-01,Hyderabad,D4440,Baleno,720000,3,47087,0,97.38300000000001,14787,1,0.95,14400.0,20202.0,17161.666666666668,25310.553421229037,14353.325
2022-10-01,Hyderabad,D6917,Baleno,720000,16,146024,2,100.49600000000001,53481,1,0.95,14400.0,14787.0,29490.0,25310.553421229037,54164.61666666667
2023-01-01,Hyderabad,D2365,Baleno,880000,6,79165,1,102.69600000000001,24327,1,0.95,17600.0,53481.0,30865.0,25310.553421229037,29921.616666666665
2023-06-01,Hyderabad,D8400,Baleno,880000,6,61116,0,103.93900000000001,17870,1,0.95,17600.0,24327.0,31892.666666666668,25310.553421229037,18750.533333333333
2023-10-01,Hyderabad,D3502,Baleno,800000,15,183754,2,102.135,93862,1,0.95,16000.0,17870.0,45353.0,25310.553421229037,76793.05
2024-12-01,Hyderabad,D2062,Baleno,880000,9,58927,1,106.85400000000001,21815,1,0.95,17600.0,93862.0,44515.666666666664,25310.553421229037,20799.658333333333
2025-02-01,Hyderabad,D8860,Baleno,800000,6,44437,0,106.72200000000001,13313,1,0.95,16000.0,21815.0,42996.666666666664,25310.553421229037,13645.8
2025-12-01,Hyderabad,D7801,Baleno,950000,7,81348,1,110.56100000000002,41513,1,0.95,19000.0,13313.0,25547.0,25310.553421229037,36763.65
2023-04-01,Mumbai,D8186,Baleno,720000,2,66321,0,102.58600000000001,18548,1,0.95,14400.0,8540.0,12711.333333333334,15925.152711983645,16858.733333333334
2023-09-01,Mumbai,D5360,Baleno,880000,3,47772,0,100.804,12141,1,0.95,17600.0,18548.0,13076.333333333334,15925.152711983645,12787.825
2024-04-01,Mumbai,D5980,Baleno,880000,6,67574,0,105.171,21842,1,0.95,17600.0,12141.0,17510.333333333332,15925.152711983645,21019.633333333335
2025-04-01,Mumbai,D6305,Baleno,950000,3,69778,0,106.85400000000001,23184,1,0.95,19000.0,21842.0,19055.666666666668,15925.152711983645,24767.05
2025-08-01,Mumbai,D6334,Baleno,880000,9,72612,1,108.31700000000001,28252,1,0.95,17600.0,23184.0,24426.0,15925.152711983645,29400.266666666666
2025-09-01,Mumbai,D9924,Baleno,880000,6,58441,0,108.141,19924,1,0.95,17600.0,28252.0,23786.666666666668,15925.152711983645,19029.366666666665
2025-11-01,Mumbai,D9010,Baleno,800000,13,115631,2,108.042,60166,1,0.95,16000.0,19924.0,36114.0,15925.152711983645,56550.36666666667
2026-01-01,Mumbai,D5846,Baleno,800000,8,114732,1,114.38900000000001,43020,1,0.95,16000.0,60166.0,41036.666666666664,15925.152711983645,44859.48333333333
2025-06-01,Bangalore,D8576,Brezza,950000,3,50829,0,111.089,13871,1,0.95,19000.0,18216.0,14371.333333333334,14535.204363888386,13383.966666666667
2025-08-01,Bangalore,D1928,Brezza,1150000,9,94139,1,109.527,31380,1,0.95,23000.0,13871.0,21155.666666666668,14535.204363888386,31436.408333333333
2025-09-01,Bangalore,D6029,Brezza,1150000,4,59734,0,108.54800000000002,15216,1,0.95,23000.0,31380.0,20155.666666666668,14535.204363888386,15446.708333333334
2025-11-01,Bangalore,D3105,Brezza,1050000,10,143646,2,110.15400000000001,49001,1,0.95,21000.0,15216.0,31865.666666666668,14535.204363888386,51736.95
2022-03-01,Chennai,D1953,Brezza,1150000,7,82779,1,99.97900000000001,21882,1,0.95,23000.0,8571.0,15480.333333333334,11944.344250143417,22682.608333333334
2022-04-01,Chennai,D3539,Brezza,950000,2,51636,0,100.69400000000002,11760,1,0.95,19000.0,21882.0,14071.0,11944.344250143417,12954.2
2022-08-01,Chennai,D2191,Brezza,1050000,5,61563,1,99.858,18705,1,0.95,21000.0,11760.0,17449.0,11944.344250143417,16083.891666666666
2022-10-01,Chennai,D7938,Brezza,950000,17,171055,2,99.528,56772,1,0.95,19000.0,18705.0,29079.0,11944.344250143417,58178.708333333336
2023-01-01,Chennai,D7172,Brezza,950000,7,76987,1,100.50700000000002,22700,1,0.95,19000.0,56772.0,32725.666666666668,11944.344250143417,28323.625
2023-05-01,Chennai,D9702,Brezza,1150000,4,63174,0,100.38600000000001,13393,1,0.95,23000.0,22700.0,30955.0,11944.344250143417,15442.75
2023-08-01,Chennai,D2324,Brezza,1050000,5,89310,1,102.56400000000001,27197,1,0.95,21000.0,13393.0,21096.666666666668,11944.344250143417,29733.008333333335
2023-09-01,Chennai,D4141,Brezza,1050000,4,38906,0,102.751,10127,1,0.95,21000.0,27197.0,16905.666666666668,11944.344250143417,9901.841666666667
2024-05-01,Chennai,D9905,Brezza,950000,5,58211,0,104.87400000000001,15852,1,0.95,19000.0,10127.0,17725.333333333332,11944.344250143417,16363.458333333334
